# HJD              Flux       Noise    
  2454280.710963   1.00017    5.56E-4  
  2454280.71128    0.99967    5.56E-4  
  2454280.711598   1.000294   5.56E-4  
  2454280.711916   0.998851   5.57E-4  
  2454280.712234   1.000071   5.56E-4  
  2454280.712549   0.999478   5.56E-4  
  2454280.712866   0.999971   5.56E-4  
  2454280.713184   1.000522   5.56E-4  
  2454280.713503   1.000451   5.56E-4  
  2454280.713817   0.998619   5.57E-4  
  2454280.714134   0.998363   5.57E-4  
  2454280.714451   1.000557   5.56E-4  
  2454280.714769   0.99895    5.57E-4  
  2454280.715087   0.999526   5.56E-4  
  2454280.715405   1.000532   5.56E-4  
  2454280.71572    1.000088   5.56E-4  
  2454280.716037   0.999476   5.56E-4  
  2454280.716355   1.000594   5.56E-4  
  2454280.716673   1.000513   5.56E-4  
  2454280.71699    1.000392   5.56E-4  
  2454280.717305   1.000914   5.56E-4  
  2454280.717622   0.999789   5.56E-4  
  2454280.71794    1.001034   5.56E-4  
  2454280.718258   0.998978   5.57E-4  
  2454280.718576   0.999838   5.56E-4  
  2454280.718894   0.999643   5.56E-4  
  2454280.719208   1.000635   5.56E-4  
  2454280.719526   1.000494   5.56E-4  
  2454280.719843   1.000348   5.56E-4  
  2454280.720161   1.000268   5.56E-4  
  2454280.720476   0.999457   5.56E-4  
  2454280.720794   0.999847   5.56E-4  
  2454280.721112   0.999753   5.56E-4  
  2454280.72143    1.001256   5.56E-4  
  2454280.721747   1.000237   5.56E-4  
  2454280.722062   1.000264   5.56E-4  
  2454280.722379   0.999768   5.56E-4  
  2454280.722696   0.999359   5.56E-4  
  2454280.723015   1.000809   5.56E-4  
  2454280.723333   1.000263   5.56E-4  
  2454280.723647   1.000482   5.56E-4  
  2454280.723964   0.999199   5.56E-4  
  2454280.724282   0.999614   5.56E-4  
  2454280.7246     1.000524   5.56E-4  
  2454280.724918   1.000278   5.56E-4  
  2454280.725235   1.001139   5.56E-4  
  2454280.725551   0.999797   5.56E-4  
  2454280.725869   0.998488   5.57E-4  
  2454280.726187   1.000681   5.56E-4  
  2454280.726501   0.99946    5.56E-4  
  2454280.726818   0.999493   5.56E-4  
  2454280.727135   0.999643   5.56E-4  
  2454280.727453   1.000031   5.56E-4  
  2454280.727771   1.000161   5.56E-4  
  2454280.728404   0.999491   5.56E-4  
  2454280.728721   1.00001    5.56E-4  
  2454280.729039   1.000658   5.56E-4  
  2454280.729357   1.000533   5.56E-4  
  2454280.729672   1.000887   5.56E-4  
  2454280.729989   0.999538   5.56E-4  
  2454280.730307   1.001723   5.56E-4  
  2454280.730624   1.000395   5.56E-4  
  2454280.730943   0.999575   5.56E-4  
  2454280.731257   1.000949   5.56E-4  
  2454280.731575   0.999505   5.56E-4  
  2454280.731892   0.999589   5.56E-4  
  2454280.73221    1.000837   5.56E-4  
  2454280.732528   0.999721   5.56E-4  
  2454280.732843   0.999648   5.56E-4  
  2454280.73316    0.999582   5.56E-4  
  2454280.733478   1.000536   5.56E-4  
  2454280.733796   1.001314   5.56E-4  
  2454280.734114   1.000665   5.56E-4  
  2454280.734429   0.999257   5.56E-4  
  2454280.734746   0.999485   5.56E-4  
  2454280.735063   0.999371   5.56E-4  
  2454280.735381   0.999329   5.56E-4  
  2454280.735699   1.000417   5.56E-4  
  2454280.736016   0.999812   5.56E-4  
  2454280.736331   0.999367   5.56E-4  
  2454280.736649   1.000846   5.56E-4  
  2454280.736967   1.000546   5.56E-4  
  2454280.737285   0.998843   5.57E-4  
  2454280.737599   0.999903   5.56E-4  
  2454280.737917   1.000946   5.56E-4  
  2454280.738234   0.999743   5.56E-4  
  2454280.738552   1.001087   5.56E-4  
  2454280.73887    0.998471   5.57E-4  
  2454280.739185   1.0004     5.56E-4  
  2454280.739502   0.999645   5.56E-4  
  2454280.739819   0.999722   5.56E-4  
  2454280.740137   0.999705   5.56E-4  
  2454280.740455   1.000975   5.56E-4  
  2454280.740773   1.000553   5.56E-4  
  2454280.741088   1.001065   5.56E-4  
  2454280.741405   0.999108   5.56E-4  
  2454280.741723   0.999605   5.56E-4  
  2454280.742041   0.998458   5.57E-4  
  2454280.742359   1.000647   5.56E-4  
  2454280.742673   1.001049   5.56E-4  
  2454280.74299    0.999791   5.56E-4  
  2454280.743308   0.9989     5.57E-4  
  2454280.743627   1.000253   5.56E-4  
  2454280.743941   0.998994   5.57E-4  
  2454280.744258   1.00081    5.56E-4  
  2454280.744576   1.000281   5.56E-4  
  2454280.744894   1.000235   5.56E-4  
  2454280.745213   1.000355   5.56E-4  
  2454280.745527   0.99873    5.57E-4  
  2454280.745844   0.999424   5.56E-4  
  2454280.746162   0.999679   5.56E-4  
  2454280.746479   0.998719   5.57E-4  
  2454280.746798   1.000308   5.56E-4  
  2454280.747115   0.999452   5.56E-4  
  2454280.747429   0.999629   5.56E-4  
  2454280.747747   0.999143   5.56E-4  
  2454280.748064   1.000142   5.56E-4  
  2454280.748382   1.000721   5.56E-4  
  2454280.7487     0.999745   5.56E-4  
  2454280.749017   0.999705   5.56E-4  
  2454280.749334   0.999657   5.56E-4  
  2454280.749652   0.999628   5.56E-4  
  2454280.749969   0.999859   5.56E-4  
  2454280.750283   1.000937   5.56E-4  
  2454280.750601   1.001083   5.56E-4  
  2454280.750918   0.998976   5.57E-4  
  2454280.751236   0.999739   5.56E-4  
  2454280.751554   0.99921    5.56E-4  
  2454280.751869   0.999775   5.56E-4  
  2454280.752186   1.000129   5.56E-4  
  2454280.752504   1.000141   5.56E-4  
  2454280.752821   0.999467   5.56E-4  
